time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0.18					-62.8113	-19.2261	-75.3784	-25.0244    -50.354
0.1805					-62.7319	-16.4795	-73.5474	-25.0244    -48.523
0.181					-62.6282	-17.0898	-75.0732	-29.2969    -45.7763
0.1815					-62.5183	-16.1743	-71.4111	-25.3296    -46.0815
0.182					-62.4268	-16.7847	-75.9888	-24.1089    -51.8799
0.1825					-62.3413	-15.2588	-75.0732	-23.1934    -51.8798
0.183					-62.2192	-16.4795	-75.6836	-24.1089    -51.5747
0.1835					-62.1155	-17.0898	-76.2939	-27.4658    -48.8281
0.184					-62.0178	-13.7329	-76.5991	-28.6865    -47.9126
0.1845					-61.9385	-14.3433	-78.7354	-24.4141    -54.3213
0.185					-61.8286	-15.564		-73.5474	-31.1279    -42.4195
0.1855					-61.7249	-16.1743	-70.8008	-28.6865    -42.1143
0.186					-61.6333	-15.2588	-78.7354	-22.583	    -56.1524
0.1865					-61.5234	-16.7847	-80.8716	-22.2778    -58.5938
0.187					-61.4136	-16.7847	-75.9888	-28.0762    -47.9126
0.1875					-61.3159	-18.6157	-75.3784	-25.0244    -50.354
0.188					-61.2061	-16.7847	-77.2095	-28.0762    -49.1333
0.1885					-61.1206	-15.2588	-65.3076	-27.1606    -38.147
0.189					-61.0168	-17.0898	-79.0405	-31.1279    -47.9126
0.1895					-60.9314	-16.4795	-79.0405	-30.8228    -48.2177
0.19					-60.8337	-15.2588	-85.7544	-29.6021    -56.1523
0.1905					-60.7239	-16.7847	-76.2939	-29.6021    -46.6918
0.191					-60.6201	-17.7002	-75.6836	-29.6021    -46.0815
0.1915					-60.5347	-13.7329	-83.0078	-24.7192    -58.2886
0.192					-60.4187	-16.4795	-79.3457	-27.771	    -51.5747
0.1925					-60.3455	-15.564		-81.7871	-33.8745    -47.9126
0.193					-60.2234	-17.7002	-77.5146	-31.1279    -46.3867
0.1935					-60.1135	-16.4795	-76.9043	-32.959	    -43.9453
0.194					-60.022		-15.2588	-76.2939	-35.4004    -40.8935
0.1945					-59.9365	-17.0898	-80.5664	-34.4849    -46.0815
0.195					-59.8389	-14.9536	-83.6182	-30.8228    -52.7954
0.1955					-59.729		-16.7847	-72.937		-32.6538    -40.2832
0.196					-59.6497	-12.207		-73.5474	-32.6538    -40.8936
0.1965					-59.5398	-18.6157	-70.1904	-32.3486    -37.8418
0.197					-59.4238	-17.7002	-73.2422	-32.3486    -40.8936
0.1975					-59.3384	-15.564		-70.8008	-29.6021    -41.1987
0.198					-59.2285	-17.0898	-65.0024	-33.8745    -31.1279
0.1985					-59.1309	-17.0898	-67.4438	-31.7383    -35.7055
0.199					-59.0454	-16.4795	-72.0215	-28.9917    -43.0298
0.1995					-58.9294	-19.2261	-66.2231	-29.6021    -36.621
0.2					-58.8196	-16.1743	-70.1904	-31.4331    -38.7573
0.2005					-58.7402	-12.8174	-72.3267	-31.4331    -40.8936
0.201					-58.6365	-13.7329	-70.4956	-30.5176    -39.978
0.2015					-58.5266	-16.7847	-67.749		-31.7383    -36.0107
0.202					-58.4351	-16.7847	-65.918		-31.7383    -34.1797
0.2025					-58.3252	-17.0898	-68.0542	-32.0435    -36.0107
0.203					-58.2458	-15.8691	-69.8853	-26.5503    -43.335
0.2035					-58.1421	-13.4277	-63.4766	-26.8555    -36.6211
0.204					-58.0139	-13.1226	-68.9697	-29.6021    -39.3676
